id,lat,lon,source,collection_datetime,datetime,fc_leadtime,PrecipitationProbability,rhum_2,temp_2,TotalLiquid,windd_10,winds_10
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.996206+00:00,2022-08-16 21:00:00+00:00,1,4.0,66.0,23.9,-17.8,118.0,2.9
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.996206+00:00,2022-08-16 22:00:00+00:00,2,5.0,69.0,23.3,-17.8,125.0,3.2
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.996206+00:00,2022-08-16 23:00:00+00:00,3,7.0,71.0,22.8,-17.8,145.0,3.8
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.996206+00:00,2022-08-17 00:00:00+00:00,4,7.0,81.0,21.7,-17.8,164.0,4.2
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.996206+00:00,2022-08-17 01:00:00+00:00,5,6.0,88.0,20.0,-17.8,164.0,4.5
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.996206+00:00,2022-08-17 02:00:00+00:00,6,5.0,89.0,20.0,-17.8,151.0,4.5
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.996206+00:00,2022-08-17 03:00:00+00:00,7,5.0,89.0,20.0,-17.8,145.0,4.5
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.996206+00:00,2022-08-17 04:00:00+00:00,8,8.0,92.0,19.4,-17.8,149.0,4.5
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.996206+00:00,2022-08-17 05:00:00+00:00,9,51.0,88.0,20.6,-17.7,154.0,4.5
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.996206+00:00,2022-08-17 06:00:00+00:00,10,47.0,91.0,21.1,-17.8,158.0,4.5
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.996206+00:00,2022-08-17 07:00:00+00:00,11,35.0,83.0,22.8,-17.8,158.0,4.5
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.996206+00:00,2022-08-17 08:00:00+00:00,12,19.0,88.0,21.7,-17.8,159.0,4.5
