id,timezone,location,properties,source
MID_C1136,Europe/Helsinki,"(60.189670562744, 21.897169113159)","{'name': 'nagu', 'city': 'nagu', 'state': '', 'country': 'fi'}",MADIS_MESONET2
MID_D1410,Europe/Helsinki,"(60.47367, 22.69283)","{'name': 'paimio', 'city': 'paimio', 'state': '', 'country': 'fi'}",MADIS_MESONET2
MID_D2380,Europe/Helsinki,"(60.46383, 22.6735)","{'name': 'paimio', 'city': 'paimio', 'state': '', 'country': 'fi'}",MADIS_MESONET2
MID_D8228,Europe/Helsinki,"(60.081329345703, 22.013000488281)","{'name': 'nagu', 'city': 'nagu', 'state': '', 'country': 'fi'}",MADIS_MESONET2
MID_AS468,Europe/Helsinki,"(60.196998596191, 24.590000152588)","{'name': 'kumpyöli', 'city': 'kumpyöli', 'state': '', 'country': 'fi'}",MADIS_MESONET2
PWS_BASSEDV1,Europe/Helsinki,"(60.1973, 24.606161)","{'name': 'espoo', 'city': 'espoo', 'state': '', 'country': 'fi'}",PWS
MID_E7395,Europe/Helsinki,"(60.2235, 24.98633)","{'name': 'helsinki', 'city': 'helsinki', 'state': '', 'country': 'fi'}",MADIS_MESONET2
EFHK,Europe/Helsinki,"(60.316666666667, 24.966666666667)","{'name': 'helsinki/vantaa', 'city': 'helsinki/vantaa', 'state': '', 'country': 'fi'}",METAR_NOAA
MID_E6240,Europe/Paris,"(49.698, 0.737)","{'name': 'anvéville', 'city': 'anvéville', 'state': 'a7', 'country': 'fr'}",MADIS_MESONET2
MID_E8226,Europe/Paris,"(49.44283, 1.094)","{'name': 'rouen', 'city': 'rouen', 'state': 'a7', 'country': 'fr'}",MADIS_MESONET2
MID_G1111,Europe/Paris,"(49.70299911499, 1.0950000286102)","{'name': 'saint-denis-sur-scie', 'city': 'saint-denis-sur-scie', 'state': '', 'country': 'fr'}",MADIS_MESONET2
LFOH,Europe/Paris,"(49.516666666667, 0.066666666666667)","{'name': 'le havre/octevil', 'city': 'le havre/octevil', 'state': '', 'country': 'fr'}",METAR_NOAA
ESSB,Europe/Stockholm,"(59.35, 17.933333333333)","{'name': 'stockholm/bromma', 'city': 'stockholm/bromma', 'state': '', 'country': 'se'}",METAR_NOAA
PWS_JNSSON,Europe/Stockholm,"(59.344605, 17.8939377)","{'name': 'bromma', 'city': 'bromma', 'state': '', 'country': 'se'}",PWS
PWS_LOBECO,Europe/Stockholm,"(59.27301, 17.93273)","{'name': 'segeltorp', 'city': 'segeltorp', 'state': '', 'country': 'se'}",PWS
PWS_SEGELTORPCENTRAL,Europe/Stockholm,"(59.28, 17.94)","{'name': 'segeltorp', 'city': 'segeltorp', 'state': '', 'country': 'se'}",PWS
MID_C1136,Europe/Helsinki,"(60.189670562744, 21.897169113159)","{'name': 'nagu', 'city': 'nagu', 'state': '', 'country': 'fi'}",MADIS_MESONET2
MID_D1410,Europe/Helsinki,"(60.47367, 22.69283)","{'name': 'paimio', 'city': 'paimio', 'state': '', 'country': 'fi'}",MADIS_MESONET2
MID_D2380,Europe/Helsinki,"(60.46383, 22.6735)","{'name': 'paimio', 'city': 'paimio', 'state': '', 'country': 'fi'}",MADIS_MESONET2
MID_D8228,Europe/Helsinki,"(60.081329345703, 22.013000488281)","{'name': 'nagu', 'city': 'nagu', 'state': '', 'country': 'fi'}",MADIS_MESONET2
MID_AS468,Europe/Helsinki,"(60.196998596191, 24.590000152588)","{'name': 'kumpyöli', 'city': 'kumpyöli', 'state': '', 'country': 'fi'}",MADIS_MESONET2
PWS_BASSEDV1,Europe/Helsinki,"(60.1973, 24.606161)","{'name': 'espoo', 'city': 'espoo', 'state': '', 'country': 'fi'}",PWS
MID_E7395,Europe/Helsinki,"(60.2235, 24.98633)","{'name': 'helsinki', 'city': 'helsinki', 'state': '', 'country': 'fi'}",MADIS_MESONET2
EFHK,Europe/Helsinki,"(60.316666666667, 24.966666666667)","{'name': 'helsinki/vantaa', 'city': 'helsinki/vantaa', 'state': '', 'country': 'fi'}",METAR_NOAA
MID_E6240,Europe/Paris,"(49.698, 0.737)","{'name': 'anvéville', 'city': 'anvéville', 'state': 'a7', 'country': 'fr'}",MADIS_MESONET2
MID_E8226,Europe/Paris,"(49.44283, 1.094)","{'name': 'rouen', 'city': 'rouen', 'state': 'a7', 'country': 'fr'}",MADIS_MESONET2
MID_G1111,Europe/Paris,"(49.70299911499, 1.0950000286102)","{'name': 'saint-denis-sur-scie', 'city': 'saint-denis-sur-scie', 'state': '', 'country': 'fr'}",MADIS_MESONET2
LFOH,Europe/Paris,"(49.516666666667, 0.066666666666667)","{'name': 'le havre/octevil', 'city': 'le havre/octevil', 'state': '', 'country': 'fr'}",METAR_NOAA
ESSB,Europe/Stockholm,"(59.35, 17.933333333333)","{'name': 'stockholm/bromma', 'city': 'stockholm/bromma', 'state': '', 'country': 'se'}",METAR_NOAA
PWS_JNSSON,Europe/Stockholm,"(59.344605, 17.8939377)","{'name': 'bromma', 'city': 'bromma', 'state': '', 'country': 'se'}",PWS
PWS_LOBECO,Europe/Stockholm,"(59.27301, 17.93273)","{'name': 'segeltorp', 'city': 'segeltorp', 'state': '', 'country': 'se'}",PWS
PWS_SEGELTORPCENTRAL,Europe/Stockholm,"(59.28, 17.94)","{'name': 'segeltorp', 'city': 'segeltorp', 'state': '', 'country': 'se'}",PWS
