id,name,location,properties,source
100539,Kemi Ajos,"(65.67337, 24.51526)","{'locationcode/name': 'Kemi Ajos', 'locationcode/geoid': '-100539', 'location/region': 'Kemi', 'location/country': 'Finland'}",FMI
100540,Raahe Lapaluoto,"(64.6663, 24.40708)","{'locationcode/name': 'Raahe Lapaluoto', 'locationcode/geoid': '-100540', 'location/region': 'Raahe', 'location/country': 'Finland'}",FMI
100656,Virolahti Koivuniemi Ääpälä,"(60.53002, 27.6754)","{'locationcode/name': 'Virolahti Koivuniemi Ääpälä', 'locationcode/geoid': '-100656', 'location/region': 'Virolahti', 'location/country': 'Finland'}",FMI
100662,Helsinki Kallio 2,"(60.18739, 24.9506)","{'locationcode/name': 'Helsinki Kallio 2', 'locationcode/geoid': '-100662', 'location/region': 'Helsinki', 'location/country': 'Finland'}",FMI
100669,Porvoo Emäsalo Vaarlahti,"(60.20579, 25.62509)","{'locationcode/name': 'Porvoo Emäsalo Vaarlahti', 'locationcode/geoid': '-100669', 'location/region': 'Porvoo', 'location/country': 'Finland'}",FMI
100683,Porvoo Kilpilahti satama,"(60.303725, 25.549164)","{'locationcode/name': 'Porvoo Kilpilahti satama', 'locationcode/geoid': '-16777356', 'locationcode/wmo': '02994', 'location/region': 'Porvoo', 'location/country': 'Finland'}",FMI
100691,Espoo Leppävaara Läkkisepänkuja,"(60.22024, 24.81133)","{'locationcode/name': 'Espoo Leppävaara Läkkisepänkuja', 'locationcode/geoid': '-100691', 'location/region': 'Espoo', 'location/country': 'Finland'}",FMI
100723,Espoo Luukki,"(60.31439, 24.68486)","{'locationcode/name': 'Espoo Luukki', 'locationcode/geoid': '-100723', 'location/region': 'Espoo', 'location/country': 'Finland'}",FMI
100742,Helsinki Mannerheimintie,"(60.16964, 24.93924)","{'locationcode/name': 'Helsinki Mannerheimintie', 'locationcode/geoid': '-100742', 'location/region': 'Helsinki', 'location/country': 'Finland'}",FMI
100761,Kotka Kuusenkari,"(60.271767, 27.107889)","{'locationcode/name': 'Kotka Kuusenkari', 'locationcode/geoid': '-100761', 'location/region': 'Kotka', 'location/country': 'Finland'}",FMI
100762,Helsinki Mäkelänkatu,"(60.19644, 24.95198)","{'locationcode/name': 'Helsinki Mäkelänkatu', 'locationcode/geoid': '-100762', 'location/region': 'Helsinki', 'location/country': 'Finland'}",FMI
100763,Vantaa Tikkurila Neilikkatie,"(60.28995, 25.03953)","{'locationcode/name': 'Vantaa Tikkurila Neilikkatie', 'locationcode/geoid': '-100763', 'location/region': 'Vantaa', 'location/country': 'Finland'}",FMI
100803,Helsinki Vartiokylä Huivipolku,"(60.22393, 25.10244)","{'locationcode/name': 'Helsinki Vartiokylä Huivipolku', 'locationcode/geoid': '-100803', 'location/region': 'Helsinki', 'location/country': 'Finland'}",FMI
100823,Kaarina Kaarina,"(60.40831, 22.37835)","{'locationcode/name': 'Kaarina Kaarina', 'locationcode/geoid': '-100823', 'location/region': 'Kaarina', 'location/country': 'Finland'}",FMI
100824,Naantali keskusta Asematori,"(60.46744, 22.0284)","{'locationcode/name': 'Naantali keskusta Asematori', 'locationcode/geoid': '-100824', 'location/region': 'Naantali', 'location/country': 'Finland'}",FMI
100843,Parainen Parainen,"(60.30372, 22.28294)","{'locationcode/name': 'Parainen Parainen', 'locationcode/geoid': '-100843', 'location/region': 'Parainen', 'location/country': 'Finland'}",FMI
100845,Turku Ruissalo Saarontie,"(60.42532, 22.09611)","{'locationcode/name': 'Turku Ruissalo Saarontie', 'locationcode/geoid': '-100845', 'location/region': 'Turku', 'location/country': 'Finland'}",FMI
100882,Kuopio Haminalahti,"(62.8497, 27.5288)","{'locationcode/name': 'Kuopio Haminalahti', 'locationcode/geoid': '-100882', 'location/region': 'Kuopio', 'location/country': 'Finland'}",FMI
100907,Jomala Maarianhamina lentoasema,"(60.127351, 19.900379)","{'locationcode/name': 'Jomala Maarianhamina lentoasema', 'locationcode/geoid': '-16000195', 'locationcode/wmo': '02970', 'locationcode/icao': 'EFMA', 'location/region': 'Jomala', 'location/country': 'Finland'}",FMI
100908,Parainen Utö,"(59.779094, 21.374788)","{'locationcode/name': 'Parainen Utö', 'locationcode/geoid': '-16000054', 'locationcode/wmo': '02981', 'location/region': 'Parainen', 'location/country': 'Finland'}",FMI
100909,Lemland Nyhamn,"(59.959108, 19.953736)","{'locationcode/name': 'Lemland Nyhamn', 'locationcode/geoid': '-16000086', 'locationcode/wmo': '02980', 'location/region': 'Lemland', 'location/country': 'Finland'}",FMI
100917,Jomala Jomalaby,"(60.178236, 19.986864)","{'locationcode/name': 'Jomala Jomalaby', 'locationcode/geoid': '-16000031', 'locationcode/wmo': '02741', 'location/region': 'Jomala', 'location/country': 'Finland'}",FMI
100919,Hammarland Märket,"(60.30098, 19.13142)","{'locationcode/name': 'Hammarland Märket', 'locationcode/geoid': '-16000058', 'locationcode/wmo': '02993', 'location/region': 'Eckerö', 'location/country': 'Finland'}",FMI
100921,Kökar Bogskär,"(59.504544, 20.347475)","{'locationcode/name': 'Kökar Bogskär', 'locationcode/geoid': '-16000033', 'locationcode/wmo': '02979', 'location/region': 'Kökar', 'location/country': 'Finland'}",FMI
100924,Parainen Fagerholm,"(60.111626, 21.698278)","{'locationcode/name': 'Parainen Fagerholm', 'locationcode/geoid': '-16000043', 'locationcode/wmo': '02950', 'location/region': 'Parainen', 'location/country': 'Finland'}",FMI
100928,Kumlinge kirkonkylä,"(60.258229, 20.746975)","{'locationcode/name': 'Kumlinge kirkonkylä', 'locationcode/geoid': '-16000116', 'locationcode/wmo': '02790', 'location/region': 'Kumlinge', 'location/country': 'Finland'}",FMI
100929,Maarianhamina Badhusberget,"(60.100976, 19.92564)","{'locationcode/name': 'Maarianhamina Badhusberget', 'locationcode/geoid': '-16000198', 'locationcode/wmo': '02969', 'location/region': 'Maarianhamina', 'location/country': 'Finland'}",FMI
100932,Hanko Russarö,"(59.773633, 22.948683)","{'locationcode/name': 'Hanko Russarö', 'locationcode/geoid': '-16000163', 'locationcode/wmo': '02982', 'location/region': 'Hanko', 'location/country': 'Finland'}",FMI
100934,Kaarina Yltöinen,"(60.386903, 22.551826)","{'locationcode/name': 'Kaarina Yltöinen', 'locationcode/geoid': '-16000021', 'locationcode/wmo': '02828', 'location/region': 'Kaarina', 'location/country': 'Finland'}",FMI
100945,Kemiönsaari Vänö,"(59.86949, 22.193427)","{'locationcode/name': 'Kemiönsaari Vänö', 'locationcode/geoid': '-16000044', 'locationcode/wmo': '02743', 'location/region': 'Kemiönsaari', 'location/country': 'Finland'}",FMI
100946,Hanko Tulliniemi,"(59.808642, 22.912464)","{'locationcode/name': 'Hanko Tulliniemi', 'locationcode/geoid': '-16000011', 'locationcode/wmo': '02746', 'location/region': 'Hanko', 'location/country': 'Finland'}",FMI
100947,Turku Rajakari,"(60.37788, 22.0964)","{'locationcode/name': 'Turku Rajakari', 'locationcode/geoid': '-16000066', 'locationcode/wmo': '02747', 'location/region': 'Turku', 'location/country': 'Finland'}",FMI
100949,Turku Artukainen,"(60.454391, 22.178695)","{'locationcode/name': 'Turku Artukainen', 'locationcode/geoid': '-16000132', 'locationcode/wmo': '02773', 'location/region': 'Turku', 'location/country': 'Finland'}",FMI
100951,Kemiönsaari Kemiö,"(60.171231, 22.757684)","{'locationcode/name': 'Kemiönsaari Kemiö', 'locationcode/geoid': '-16011850', 'locationcode/wmo': '02906', 'location/region': 'Kemiönsaari', 'location/country': 'Finland'}",FMI
100953,Hanko Tvärminne,"(59.843831, 23.248587)","{'locationcode/name': 'Hanko Tvärminne', 'locationcode/geoid': '-16000061', 'locationcode/wmo': '02750', 'location/region': 'Hanko', 'location/country': 'Finland'}",FMI
100955,Salo Kärkkä,"(60.373921, 23.112918)","{'locationcode/name': 'Salo Kärkkä', 'locationcode/geoid': '-16000012', 'locationcode/wmo': '02756', 'location/region': 'Salo', 'location/country': 'Finland'}",FMI
100963,Lohja Leppäkorpi,"(60.491373, 23.766286)","{'locationcode/name': 'Lohja Leppäkorpi', 'locationcode/geoid': '-100963', 'location/region': 'Lohja', 'location/country': 'Finland'}",FMI
100965,Raasepori Jussarö,"(59.820758, 23.57309)","{'locationcode/name': 'Raasepori Jussarö', 'locationcode/geoid': '-16000041', 'locationcode/wmo': '02757', 'location/region': 'Raasepori', 'location/country': 'Finland'}",FMI
100967,Salo Kiikala lentokenttä,"(60.464154, 23.649757)","{'locationcode/name': 'Salo Kiikala lentokenttä', 'locationcode/geoid': '-16000126', 'locationcode/wmo': '02777', 'location/region': 'Salo', 'location/country': 'Finland'}",FMI
100968,Vantaa Helsinki-Vantaan lentoasema,"(60.3267, 24.95675)","{'locationcode/name': 'Vantaa Helsinki-Vantaan lentoasema', 'locationcode/geoid': '-16000063', 'locationcode/wmo': '02974', 'locationcode/icao': 'EFHK', 'location/region': 'Vantaa', 'location/country': 'Finland'}",FMI
100969,Inkoo Bågaskär,"(59.931136, 24.014082)","{'locationcode/name': 'Inkoo Bågaskär', 'locationcode/geoid': '-16000158', 'locationcode/wmo': '02984', 'location/region': 'Inkoo', 'location/country': 'Finland'}",FMI
100971,Helsinki Kaisaniemi,"(60.17523, 24.94459)","{'locationcode/name': 'Helsinki Kaisaniemi', 'locationcode/geoid': '-16000150', 'locationcode/wmo': '02978', 'location/region': 'Helsinki', 'location/country': 'Finland'}",FMI
100974,Lohja Porla,"(60.244455, 24.049514)","{'locationcode/name': 'Lohja Porla', 'locationcode/geoid': '-16000023', 'locationcode/wmo': '02706', 'location/region': 'Lohja', 'location/country': 'Finland'}",FMI
100976,Vihti Maasoja,"(60.418755, 24.398622)","{'locationcode/name': 'Vihti Maasoja', 'locationcode/geoid': '-16000165', 'locationcode/wmo': '02758', 'location/region': 'Vihti', 'location/country': 'Finland'}",FMI
100996,Helsinki Harmaja,"(60.10512, 24.97539)","{'locationcode/name': 'Helsinki Harmaja', 'locationcode/geoid': '-16000153', 'locationcode/wmo': '02795', 'location/region': 'Helsinki', 'location/country': 'Finland'}",FMI
100997,Kirkkonummi Mäkiluoto,"(59.919823, 24.350229)","{'locationcode/name': 'Kirkkonummi Mäkiluoto', 'locationcode/geoid': '-16000119', 'locationcode/wmo': '02794', 'location/region': 'Kirkkonummi', 'location/country': 'Finland'}",FMI
101000,Espoo Latokaski,"(60.17771, 24.64009)","{'locationcode/name': 'Espoo Latokaski', 'locationcode/geoid': '-16000092', 'locationcode/wmo': '02838', 'location/region': 'Espoo', 'location/country': 'Finland'}",FMI
101003,Helsinki Helsingin majakka,"(59.948981, 24.926311)","{'locationcode/name': 'Helsinki Helsingin majakka', 'locationcode/geoid': '-16000134', 'locationcode/wmo': '02989', 'location/region': 'Helsinki', 'location/country': 'Finland'}",FMI
101004,Helsinki Kumpula,"(60.203071, 24.961305)","{'locationcode/name': 'Helsinki Kumpula', 'locationcode/geoid': '-16000138', 'locationcode/wmo': '02998', 'location/region': 'Helsinki', 'location/country': 'Finland'}",FMI
101009,Helsinki Malmi lentokenttä,"(60.25299, 25.04549)","{'locationcode/name': 'Helsinki Malmi lentokenttä', 'locationcode/geoid': '-101009', 'location/region': 'Helsinki', 'location/country': 'Finland'}",FMI
101022,Porvoo Kalbådagrund,"(59.985683, 25.598788)","{'locationcode/name': 'Porvoo Kalbådagrund', 'locationcode/geoid': '-16000007', 'locationcode/wmo': '02987', 'location/region': 'Porvoo', 'location/country': 'Finland'}",FMI
101023,Porvoo Emäsalo,"(60.20382, 25.62546)","{'locationcode/name': 'Porvoo Emäsalo', 'locationcode/geoid': '-16000110', 'locationcode/wmo': '02991', 'location/region': 'Porvoo', 'location/country': 'Finland'}",FMI
101028,Porvoo Harabacka,"(60.391715, 25.607297)","{'locationcode/name': 'Porvoo Harabacka', 'locationcode/geoid': '-16000142', 'locationcode/wmo': '02759', 'location/region': 'Porvoo', 'location/country': 'Finland'}",FMI
101030,Kotka Rankki,"(60.375377, 26.958926)","{'locationcode/name': 'Kotka Rankki', 'locationcode/geoid': '-16000076', 'locationcode/wmo': '02976', 'location/region': 'Kotka', 'location/country': 'Finland'}",FMI
101039,Loviisa Orrengrund,"(60.274765, 26.447587)","{'locationcode/name': 'Loviisa Orrengrund', 'locationcode/geoid': '-16000050', 'locationcode/wmo': '02992', 'location/region': 'Loviisa', 'location/country': 'Finland'}",FMI
101042,Kotka Haapasaari,"(60.286758, 27.184825)","{'locationcode/name': 'Kotka Haapasaari', 'locationcode/geoid': '-16000147', 'locationcode/wmo': '02967', 'location/region': 'Kotka', 'location/country': 'Finland'}",FMI
101044,Pori lentoasema,"(61.460112, 21.808395)","{'locationcode/name': 'Pori lentoasema', 'locationcode/geoid': '-101044', 'locationcode/wmo': '02952', 'locationcode/icao': 'EFPO', 'location/region': 'Pori', 'location/country': 'Finland'}",FMI
101049,Uusikaupunki Itätulli,"(60.801833, 21.424778)","{'locationcode/name': 'Uusikaupunki Itätulli', 'locationcode/geoid': '-101049', 'location/region': 'Uusikaupunki', 'location/country': 'Finland'}",FMI
101059,Kustavi Isokari,"(60.722198, 21.02681)","{'locationcode/name': 'Kustavi Isokari', 'locationcode/geoid': '-16000055', 'locationcode/wmo': '02964', 'location/region': 'Kustavi', 'location/country': 'Finland'}",FMI
101061,Rauma Kylmäpihlaja,"(61.14475, 21.30273)","{'locationcode/name': 'Rauma Kylmäpihlaja', 'locationcode/geoid': '-16000008', 'locationcode/wmo': '02761', 'location/region': 'Rauma', 'location/country': 'Finland'}",FMI
101064,Pori rautatieasema,"(61.478925, 21.783196)","{'locationcode/name': 'Pori rautatieasema', 'locationcode/geoid': '-16011678', 'locationcode/wmo': '02926', 'location/region': 'Pori', 'location/country': 'Finland'}",FMI
101065,Turku lentoasema,"(60.515647, 22.279155)","{'locationcode/name': 'Turku lentoasema', 'locationcode/geoid': '-101065', 'locationcode/wmo': '02972', 'locationcode/icao': 'EFTU', 'location/region': 'Turku', 'location/country': 'Finland'}",FMI
101068,Kokemäki Rausenkulma,"(61.26002, 22.22752)","{'locationcode/name': 'Kokemäki Rausenkulma', 'locationcode/geoid': '-16000164', 'locationcode/wmo': '02762', 'location/region': 'Kokemäki', 'location/country': 'Finland'}",FMI
101075,Huittinen Sallila,"(61.02353, 22.69863)","{'locationcode/name': 'Huittinen Sallila', 'locationcode/geoid': '-101075', 'location/region': 'Huittinen', 'location/country': 'Finland'}",FMI
101081,Oripää Teinikivi,"(60.9043, 22.71165)","{'locationcode/name': 'Oripää Teinikivi', 'locationcode/geoid': '-101081', 'location/region': 'Oripää', 'location/country': 'Finland'}",FMI
101093,Pöytyä Yläne,"(60.870472, 22.386111)","{'locationcode/name': 'Pöytyä Yläne', 'locationcode/geoid': '-101093', 'location/region': 'Pöytyä', 'location/country': 'Finland'}",FMI
101103,Kokemäki Tulkkila,"(61.25294, 22.34613)","{'locationcode/name': 'Kokemäki Tulkkila', 'locationcode/geoid': '-16011858', 'locationcode/wmo': '02937', 'location/region': 'Kokemäki', 'location/country': 'Finland'}",FMI
101104,Jokioinen Ilmala,"(60.813972, 23.49825)","{'locationcode/name': 'Jokioinen Ilmala', 'locationcode/geoid': '-16000162', 'locationcode/wmo': '02963', 'location/region': 'Jokioinen', 'location/country': 'Finland'}",FMI
101116,Nokia Tottijärvi,"(61.39648, 23.33637)","{'locationcode/name': 'Nokia Tottijärvi', 'locationcode/geoid': '-101116', 'location/region': 'Nokia', 'location/country': 'Finland'}",FMI
101118,Pirkkala Tampere-Pirkkala lentoasema,"(61.419402, 23.622561)","{'locationcode/name': 'Pirkkala Tampere-Pirkkala lentoasema', 'locationcode/geoid': '-16000006', 'locationcode/wmo': '02944', 'locationcode/icao': 'EFTP', 'location/region': 'Pirkkala', 'location/country': 'Finland'}",FMI
101124,Tampere Härmälä,"(61.465606, 23.746783)","{'locationcode/name': 'Tampere Härmälä', 'locationcode/geoid': '-16000156', 'locationcode/wmo': '02763', 'location/region': 'Tampere', 'location/country': 'Finland'}",FMI
101128,Somero Salkola,"(60.64668, 23.80559)","{'locationcode/name': 'Somero Salkola', 'locationcode/geoid': '-16011860', 'locationcode/wmo': '02949', 'location/region': 'Somero', 'location/country': 'Finland'}",FMI
101130,Hyvinkää Hyvinkäänkylä,"(60.595889, 24.802972)","{'locationcode/name': 'Hyvinkää Hyvinkäänkylä', 'locationcode/geoid': '-16000152', 'locationcode/wmo': '02829', 'location/region': 'Hyvinkää', 'location/country': 'Finland'}",FMI
101135,Vihti Hiiskula,"(60.51583, 24.52403)","{'locationcode/name': 'Vihti Hiiskula', 'locationcode/geoid': '-101135', 'location/region': 'Vihti', 'location/country': 'Finland'}",FMI
101143,Hämeenlinna Pirttikoski,"(61.006648, 23.920059)","{'locationcode/name': 'Hämeenlinna Pirttikoski', 'locationcode/geoid': '-101143', 'location/region': 'Hämeenlinna', 'location/country': 'Finland'}",FMI
101149,Nurmijärvi Röykkä,"(60.508722, 24.65375)","{'locationcode/name': 'Nurmijärvi Röykkä', 'locationcode/geoid': '-16000151', 'locationcode/wmo': '02983', 'location/region': 'Nurmijärvi', 'location/country': 'Finland'}",FMI
101150,Hämeenlinna Katinen,"(60.999201, 24.491625)","{'locationcode/name': 'Hämeenlinna Katinen', 'locationcode/geoid': '-16000125', 'locationcode/wmo': '02754', 'location/region': 'Hämeenlinna', 'location/country': 'Finland'}",FMI
101151,Hattula Lepaa,"(61.114537, 24.324488)","{'locationcode/name': 'Hattula Lepaa', 'locationcode/geoid': '-16000197', 'locationcode/wmo': '02704', 'location/region': 'Hattula', 'location/country': 'Finland'}",FMI
101154,Hämeenlinna Lammi Pappila,"(61.054083, 25.038444)","{'locationcode/name': 'Hämeenlinna Lammi Pappila', 'locationcode/geoid': '-16000032', 'locationcode/wmo': '02767', 'location/region': 'Hämeenlinna', 'location/country': 'Finland'}",FMI
101185,Asikkala Pulkkilanharju,"(61.26521, 25.520206)","{'locationcode/name': 'Asikkala Pulkkilanharju', 'locationcode/geoid': '-16000067', 'locationcode/wmo': '02727', 'location/region': 'Asikkala', 'location/country': 'Finland'}",FMI
101188,Hämeenlinna Kotinen,"(61.23993, 25.06506)","{'locationcode/name': 'Hämeenlinna Kotinen', 'locationcode/geoid': '-101188', 'location/region': 'Hämeenlinna', 'location/country': 'Finland'}",FMI
101191,Kouvola Utti lentoasema,"(60.898392, 26.948819)","{'locationcode/name': 'Kouvola Utti lentoasema', 'locationcode/geoid': '-16000073', 'locationcode/wmo': '02966', 'locationcode/icao': 'EFUT', 'location/region': 'Kouvola', 'location/country': 'Finland'}",FMI
101194,Kouvola Anjala,"(60.6965, 26.811056)","{'locationcode/name': 'Kouvola Anjala', 'locationcode/geoid': '-16000060', 'locationcode/wmo': '02830', 'location/region': 'Kouvola', 'location/country': 'Finland'}",FMI
101196,Heinola Asemantaus,"(61.200083, 26.049667)","{'locationcode/name': 'Heinola Asemantaus', 'locationcode/geoid': '-16000071', 'locationcode/wmo': '02768', 'location/region': 'Heinola', 'location/country': 'Finland'}",FMI
101211,Kouvola Voikoski,"(61.25137, 26.77904)","{'locationcode/name': 'Kouvola Voikoski', 'locationcode/geoid': '-101211', 'location/region': 'Kouvola', 'location/country': 'Finland'}",FMI
101219,Kouvola Utti Lentoportintie,"(60.89077, 26.92915)","{'locationcode/name': 'Kouvola Utti Lentoportintie', 'locationcode/geoid': '-16011682', 'locationcode/wmo': '02956', 'location/region': 'Kouvola', 'location/country': 'Finland'}",FMI
101231,Virolahti Koivuniemi,"(60.527197, 27.672743)","{'locationcode/name': 'Virolahti Koivuniemi', 'locationcode/geoid': '-16000077', 'locationcode/wmo': '02831', 'location/region': 'Virolahti', 'location/country': 'Finland'}",FMI
101237,Lappeenranta lentoasema,"(61.040298, 28.129162)","{'locationcode/name': 'Lappeenranta lentoasema', 'locationcode/geoid': '-16000004', 'locationcode/wmo': '02958', 'locationcode/icao': 'EFLP', 'location/region': 'Lappeenranta', 'location/country': 'Finland'}",FMI
101246,Lappeenranta Konnunsuo,"(61.038791, 28.563954)","{'locationcode/name': 'Lappeenranta Konnunsuo', 'locationcode/geoid': '-16000065', 'locationcode/wmo': '02733', 'location/region': 'Lappeenranta', 'location/country': 'Finland'}",FMI
101247,Lappeenranta Lepola,"(61.05754, 28.20873)","{'locationcode/name': 'Lappeenranta Lepola', 'locationcode/geoid': '-16000169', 'locationcode/wmo': '02959', 'location/region': 'Lappeenranta', 'location/country': 'Finland'}",FMI
101248,Ruokolahti Kotaniemi,"(61.367507, 28.67649)","{'locationcode/name': 'Ruokolahti Kotaniemi', 'locationcode/geoid': '-101248', 'location/region': 'Ruokolahti', 'location/country': 'Finland'}",FMI
101252,Lappeenranta Hiekkapakka,"(61.1982, 28.47308)","{'locationcode/name': 'Lappeenranta Hiekkapakka', 'locationcode/geoid': '-16011856', 'locationcode/wmo': '02919', 'location/region': 'Lappeenranta', 'location/country': 'Finland'}",FMI
101254,Parikkala Koitsanlahti,"(61.444667, 29.461083)","{'locationcode/name': 'Parikkala Koitsanlahti', 'locationcode/geoid': '-16000135', 'locationcode/wmo': '02734', 'location/region': 'Parikkala', 'location/country': 'Finland'}",FMI
101256,Kaskinen Sälgrund,"(62.333816, 21.190813)","{'locationcode/name': 'Kaskinen Sälgrund', 'locationcode/geoid': '-16011874', 'locationcode/wmo': '02931', 'location/region': 'Kaskinen', 'location/country': 'Finland'}",FMI
101257,Merikarvia Tuorila,"(61.84847, 21.65092)","{'locationcode/name': 'Merikarvia Tuorila', 'locationcode/geoid': '-101257', 'location/region': 'Merikarvia', 'location/country': 'Finland'}",FMI
101258,Isojoki Kärjenkoski,"(62.130278, 21.698722)","{'locationcode/name': 'Isojoki Kärjenkoski', 'locationcode/geoid': '-101258', 'location/region': 'Isojoki', 'location/country': 'Finland'}",FMI
101262,Teuva Kauppilankylä,"(62.492056, 21.758472)","{'locationcode/name': 'Teuva Kauppilankylä', 'locationcode/geoid': '-101262', 'location/region': 'Teuva', 'location/country': 'Finland'}",FMI
101267,Pori Tahkoluoto satama,"(61.630419, 21.376203)","{'locationcode/name': 'Pori Tahkoluoto satama', 'locationcode/geoid': '-16000098', 'locationcode/wmo': '02751', 'location/region': 'Pori', 'location/country': 'Finland'}",FMI
101268,Kristiinankaupunki Majakka,"(62.20324, 21.16983)","{'locationcode/name': 'Kristiinankaupunki Majakka', 'locationcode/geoid': '-16000175', 'locationcode/wmo': '02752', 'location/region': 'Kristiinankaupunki', 'location/country': 'Finland'}",FMI
101272,Karvia Alkkia,"(62.183286, 22.799827)","{'locationcode/name': 'Karvia Alkkia', 'locationcode/geoid': '-16011827', 'locationcode/wmo': '02708', 'location/region': 'Karvia', 'location/country': 'Finland'}",FMI
101285,Kurikka Hirvijärvi,"(62.472937, 22.909561)","{'locationcode/name': 'Kurikka Hirvijärvi', 'locationcode/geoid': '-101285', 'location/region': 'Kurikka', 'location/country': 'Finland'}",FMI
101289,Kauhajoki Kuja-Kokko,"(62.413445, 22.183722)","{'locationcode/name': 'Kauhajoki Kuja-Kokko', 'locationcode/geoid': '-16000013', 'locationcode/wmo': '02769', 'location/region': 'Kauhajoki', 'location/country': 'Finland'}",FMI
101291,Kankaanpää Niinisalo lentokenttä,"(61.838642, 22.463678)","{'locationcode/name': 'Kankaanpää Niinisalo lentokenttä', 'locationcode/geoid': '-16000182', 'locationcode/wmo': '02753', 'location/region': 'Kankaanpää', 'location/country': 'Finland'}",FMI
101305,Alavus Sulkavankylä,"(62.44881, 23.55334)","{'locationcode/name': 'Alavus Sulkavankylä', 'locationcode/geoid': '-101305', 'location/region': 'Alavus', 'location/country': 'Finland'}",FMI
101310,Virrat Äijänneva,"(62.327833, 23.542283)","{'locationcode/name': 'Virrat Äijänneva', 'locationcode/geoid': '-16000037', 'locationcode/wmo': '02735', 'location/region': 'Virrat', 'location/country': 'Finland'}",FMI
101311,Tampere Siilinkari,"(61.517566, 23.753878)","{'locationcode/name': 'Tampere Siilinkari', 'locationcode/geoid': '-16000074', 'locationcode/wmo': '02943', 'location/region': 'Tampere', 'location/country': 'Finland'}",FMI
101315,Jämsä Halli lentoasema,"(61.855507, 24.804592)","{'locationcode/name': 'Jämsä Halli lentoasema', 'locationcode/geoid': '-16000018', 'locationcode/wmo': '02945', 'locationcode/icao': 'EFHA', 'location/region': 'Jämsä', 'location/country': 'Finland'}",FMI
101317,Juupajoki Hyytiälä,"(61.84591, 24.286964)","{'locationcode/name': 'Juupajoki Hyytiälä', 'locationcode/geoid': '-16000089', 'locationcode/wmo': '02770', 'location/region': 'Juupajoki', 'location/country': 'Finland'}",FMI
